;architecture;mapper;dataset;policy;threads;counter;mean;std
0;batcat;bowtie2;GCAT;interleave;8;seconds;1311.1264121098;1.2438689932932665
1;batcat;bowtie2;GCAT;interleave;16;seconds;692.9476748956001;14.912828389795497
2;batcat;bowtie2;GCAT;interleave;32;seconds;387.3433142346;4.887482547825303
3;batcat;bowtie2;GCAT;interleave;48;seconds;293.6551595957;2.5291102541570987
4;batcat;bowtie2;GCAT;interleave;64;seconds;272.06586096140006;7.387452951026137
5;batcat;bowtie2;GCAT;localalloc;8;seconds;1310.0486417338;0.835623241573958
6;batcat;bowtie2;GCAT;localalloc;16;seconds;687.6819764500999;11.538409816739902
7;batcat;bowtie2;GCAT;localalloc;32;seconds;396.2881845534;15.944310802112886
8;batcat;bowtie2;GCAT;localalloc;48;seconds;285.20895772820006;2.99396785822946
9;batcat;bowtie2;GCAT;localalloc;64;seconds;262.09231574450007;11.487661922362662
10;batcat;bowtie2;GCAT;scalability;8;seconds;937.9590698343;4.462568269591058
11;batcat;bowtie2;GCAT;scalability;16;seconds;481.8100067126;1.36353346159837
12;batcat;bowtie2;GCAT;scalability;32;seconds;271.2907378343;3.6778972903230494
13;batcat;bowtie2;GCAT;scalability;48;seconds;271.5819686684;4.0767890763817585
14;batcat;bowtie2;GCAT;scalability;64;seconds;282.33167339290003;8.268426381522016
